latitude,longitude,depth,time,year,month,day,hour,magnitude,rolling_mean_magnitude,time_since_last_hour,closest_eq_time,closest_eq_index,distance_to_closest_eq,time_diff_to_closest_eq
41.8956,82.2688,10.0,2024-04-07 08:46:17.940000+00:00,2024,4,7,8,5.1,4.64,0.9864308333333333,2003-12-01 01:38:31.960000+00:00,1094,182.8052069535705,7433.297059953704
41.8304,82.2444,10.0,2024-04-07 08:44:04.255000+00:00,2024,4,7,8,4.6,4.5600000000000005,0.03713472222222222,2003-12-01 01:38:31.960000+00:00,1094,185.8465120079481,7433.295512673611
41.3114,78.7696,10.0,2024-04-04 03:52:38.707000+00:00,2024,4,4,3,4.3,4.49,76.85709666666666,2024-01-22 18:09:04.340000+00:00,280,11.517433791368841,72.40525887731481
41.1972,78.397,10.0,2024-03-23 03:45:31.393000+00:00,2024,3,23,3,4.4,4.5,288.1186983333333,2024-01-22 18:09:04.340000+00:00,280,22.484239516565303,60.40031311342593
41.2292,78.4348,10.0,2024-03-23 01:41:15.561000+00:00,2024,3,23,1,4.3,4.529999999999999,2.0710644444444446,2024-01-22 18:09:04.340000+00:00,280,18.588852478334662,60.314018761574076
41.2138,78.647,10.0,2024-03-22 21:03:04.355000+00:00,2024,3,22,21,4.1,4.49,4.636446111111111,2024-01-22 18:09:04.340000+00:00,280,4.666093569424357,60.12083350694444
42.0295,84.0078,17.504,2024-03-15 19:49:10.816000+00:00,2024,3,15,19,4.6,4.45,169.23153861111112,2012-06-29 21:07:33.860000+00:00,744,165.89538861845816,4276.94556662037
41.3567,78.3283,10.0,2024-03-15 02:47:15.842000+00:00,2024,3,15,2,4.4,4.46,17.031937222222222,2024-01-22 18:09:04.340000+00:00,280,29.485041518708126,52.35985534722223
41.9547,82.4378,10.0,2024-03-14 08:36:22.421000+00:00,2024,3,14,8,4.7,4.4799999999999995,18.181505833333333,2003-12-01 01:38:31.960000+00:00,1094,190.20087267183808,7409.290167372685
41.0948,78.4459,4.346,2024-03-11 13:35:10.905000+00:00,2024,3,11,13,4.4,4.49,67.01986555555555,2024-01-22 18:09:04.340000+00:00,280,24.956971957391104,48.80979820601852
41.2434,78.8037,8.322,2024-03-09 12:35:43.089000+00:00,2024,3,9,12,4.3,4.41,48.99106,2024-01-22 18:09:04.340000+00:00,280,12.635853559033471,46.76850403935185
39.9107,76.5903,10.0,2024-03-06 17:37:46.115000+00:00,2024,3,6,17,4.5,4.4,66.96582611111111,1996-03-19 15:00:26.090000+00:00,1571,12.848727968222503,10214.109259548612
41.2949,78.7131,10.0,2024-03-06 00:09:59.584000+00:00,2024,3,6,0,4.7,4.44,17.462925277777778,2024-01-22 18:09:04.340000+00:00,280,6.620582145859377,43.250639398148145
41.1784,78.6057,10.0,2024-03-04 07:54:31.567000+00:00,2024,3,4,7,4.5,4.45,40.2577825,2024-01-22 18:09:04.340000+00:00,280,9.465079117047187,41.57323179398148
41.0319,78.1761,10.0,2024-03-04 06:45:23.340000+00:00,2024,3,4,6,4.2,4.4399999999999995,1.1522852777777777,2024-01-22 18:09:04.340000+00:00,280,47.16946885575061,41.525219907407404
42.8364,76.897,28.268,2024-03-04 06:22:07.268000+00:00,2024,3,4,6,4.7,4.5,0.38779777777777774,1990-11-12 12:28:51.520000+00:00,1736,96.84935312990355,12165.745321157408
41.5921,81.1299,10.0,2024-03-04 03:50:32.317000+00:00,2024,3,4,3,4.4,4.48,2.5263752777777775,2005-02-14 23:38:08.660000+00:00,1035,141.55687828962797,6957.175273807869
41.1319,78.5586,10.742,2024-03-03 09:24:29.299000+00:00,2024,3,3,9,4.4,4.4799999999999995,18.434171666666664,2024-01-22 18:09:04.340000+00:00,280,15.880866105861713,40.63570554398148
41.2413,78.8134,5.176,2024-02-28 01:17:44.001000+00:00,2024,2,28,1,4.3,4.44,104.11258277777777,2024-01-22 18:09:04.340000+00:00,280,13.470069985033687,36.29768126157407
41.2549,78.459,4.237,2024-02-27 14:18:00.729000+00:00,2024,2,27,14,4.2,4.42,10.995353333333332,2024-01-22 18:09:04.340000+00:00,280,16.32628794796899,35.83954153935185
41.1678,78.7406,8.299,2024-02-26 17:55:57.498000+00:00,2024,2,26,17,4.4,4.430000000000001,20.367564166666668,2024-01-22 18:09:04.340000+00:00,280,12.159558453322958,34.990893032407406
